category_large,대분류CID,category_medium,category_small
건강/취미,55890,컬러링북,걷기/육상스포츠
건강/취미,55890,컬러링북,골프
건강/취미,55890,컬러링북,글씨 쓰기
건강/취미,55890,컬러링북,스티커북
건강/취미,55890,컬러링북,컬러링북
건강/취미,55890,컬러링북,낚시
건강/취미,55890,컬러링북,다이어트
건강/취미,55890,컬러링북,대체의학
건강/취미,55890,컬러링북,등산/캠핑
건강/취미,55890,컬러링북,무예/무술
건강/취미,55890,컬러링북,바둑/장기
건강/취미,55890,컬러링북,반려동물
건강/취미,55890,컬러링북,수영/수상스포츠
건강/취미,55890,컬러링북,재난/생존/서바이벌
건강/취미,55890,컬러링북,정신건강
건강/취미,55890,컬러링북,퍼즐/스도쿠/퀴즈
건강/취미,55890,컬러링북,한의학
건강/취미,55890,컬러링북,헬스/피트니스
건강/취미,55890,구기,걷기/육상스포츠
건강/취미,55890,구기,골프
건강/취미,55890,구기,글씨 쓰기
건강/취미,55890,구기,스티커북
건강/취미,55890,구기,컬러링북
건강/취미,55890,구기,기타
건강/취미,55890,구기,농구
건강/취미,55890,구기,야구
건강/취미,55890,구기,축구
건강/취미,55890,구기,낚시
건강/취미,55890,구기,다이어트
건강/취미,55890,구기,대체의학
건강/취미,55890,구기,등산/캠핑
건강/취미,55890,구기,무예/무술
건강/취미,55890,구기,바둑/장기
건강/취미,55890,구기,반려동물
건강/취미,55890,구기,수영/수상스포츠
건강/취미,55890,구기,재난/생존/서바이벌
건강/취미,55890,구기,정신건강
건강/취미,55890,구기,퍼즐/스도쿠/퀴즈
건강/취미,55890,구기,한의학
건강/취미,55890,구기,헬스/피트니스
건강/취미,55890,낚시,걷기/육상스포츠
건강/취미,55890,낚시,골프
건강/취미,55890,낚시,글씨 쓰기
건강/취미,55890,낚시,스티커북
건강/취미,55890,낚시,컬러링북
건강/취미,55890,낚시,낚시
건강/취미,55890,낚시,다이어트
건강/취미,55890,낚시,대체의학
건강/취미,55890,낚시,등산/캠핑
건강/취미,55890,낚시,무예/무술
건강/취미,55890,낚시,바둑/장기
건강/취미,55890,낚시,반려동물
건강/취미,55890,낚시,수영/수상스포츠
건강/취미,55890,낚시,재난/생존/서바이벌
건강/취미,55890,낚시,정신건강
건강/취미,55890,낚시,퍼즐/스도쿠/퀴즈
건강/취미,55890,낚시,한의학
건강/취미,55890,낚시,헬스/피트니스
건강/취미,55890,다이어트,걷기/육상스포츠
건강/취미,55890,다이어트,골프
건강/취미,55890,다이어트,글씨 쓰기
건강/취미,55890,다이어트,스티커북
건강/취미,55890,다이어트,컬러링북
건강/취미,55890,다이어트,낚시
건강/취미,55890,다이어트,다이어트
건강/취미,55890,다이어트,대체의학
건강/취미,55890,다이어트,등산/캠핑
건강/취미,55890,다이어트,무예/무술
건강/취미,55890,다이어트,바둑/장기
건강/취미,55890,다이어트,반려동물
건강/취미,55890,다이어트,수영/수상스포츠
건강/취미,55890,다이어트,재난/생존/서바이벌
건강/취미,55890,다이어트,정신건강
건강/취미,55890,다이어트,퍼즐/스도쿠/퀴즈
건강/취미,55890,다이어트,한의학
건강/취미,55890,다이어트,헬스/피트니스
건강/취미,55890,대체의학,걷기/육상스포츠
건강/취미,55890,대체의학,골프
건강/취미,55890,대체의학,글씨 쓰기
건강/취미,55890,대체의학,스티커북
